,title
8475,Guardians of the Galaxy (2014)
8537,John Wick (2014)
8683,Star Wars: Episode VII - The Force Awakens (2015)
8691,Deadpool (2016)
8697,Doctor Strange (2016)
8879,The Martian (2015)
8900,Inside Out (2015)
9223,Zootopia (2016)
9433,Rogue One: A Star Wars Story (2016)
98,Taxi Driver (1976)
474,Blade Runner (1982)
599,Wallace & Gromit: A Close Shave (1995)
695,"Maltese Falcon, The (1941)"
868,Wallace & Gromit: The Wrong Trousers (1993)
889,"Sex, Lies, and Videotape (1989)"
896,One Flew Over the Cuckoo's Nest (1975)
903,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
908,To Kill a Mockingbird (1962)
924,"Grand Day Out with Wallace and Gromit, A (1989)"
930,Annie Hall (1977)
951,Chinatown (1974)
960,Evil Dead II (Dead by Dawn) (1987)
966,"Manchurian Candidate, The (1962)"
975,Cool Hand Luke (1967)
997,"Killing Fields, The (1984)"
1265,Sliding Doors (1998)
1872,Payback (1999)
2032,Arlington Road (1999)
2044,Mystery Men (1999)
2260,Princess Mononoke (Mononoke-hime) (1997)
2350,"Fisher King, The (1991)"
2392,Man on the Moon (1999)
3562,Donnie Darko (2001)
3622,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
4348,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986)
4769,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)
4909,Eternal Sunshine of the Spotless Mind (2004)
5695,Old Boy (2003)
6311,"Pan's Labyrinth (Laberinto del fauno, El) (2006)"
7355,Toy Story 3 (2010)
793,Die Hard (1988)
922,"Godfather: Part II, The (1974)"
929,Raging Bull (1980)
934,"Sting, The (1973)"
1058,Star Trek III: The Search for Spock (1984)
1645,"Untouchables, The (1987)"
2292,Trading Places (1983)
2450,White Men Can't Jump (1992)
2743,For a Few Dollars More (Per qualche dollaro in più) (1965)
3363,Bill & Ted's Excellent Adventure (1989)
4176,City of God (Cidade de Deus) (2002)
4612,Mystic River (2003)
5791,Howl's Moving Castle (Hauru no ugoku shiro) (2004)
6927,"Wrestler, The (2008)"
7018,Star Trek (2009)
7413,"Social Network, The (2010)"
7469,"Fighter, The (2010)"
7483,True Grit (2010)
375,Carlito's Way (1993)
385,Demolition Man (1993)
486,True Romance (1993)
549,Dragonheart (1996)
613,Trainspotting (1996)
778,Cool Runnings (1993)
809,William Shakespeare's Romeo + Juliet (1996)
913,"Third Man, The (1949)"
1044,Star Trek: First Contact (1996)
1057,Star Trek II: The Wrath of Khan (1982)
1164,"Lost World: Jurassic Park, The (1997)"
1295,Jackie Brown (1997)
1438,Rain Man (1988)
1809,Rocky II (1979)
1810,Rocky III (1982)
1811,Rocky IV (1985)
1820,"Karate Kid, The (1984)"
2031,American Pie (1999)
2195,Ferris Bueller's Day Off (1986)
2222,"Fistful of Dollars, A (Per un pugno di dollari) (1964)"
2224,Home Alone 2: Lost in New York (1992)
2326,Sleepy Hollow (1999)
2444,"Bodyguard, The (1992)"
2462,"Boondock Saints, The (2000)"
2590,Modern Times (1936)
2806,Chicken Run (2000)
2828,Scary Movie (2000)
3167,Scarface (1983)
3525,Zoolander (2001)
3770,Panic Room (2002)
3854,"Bourne Identity, The (2002)"
3956,"Transporter, The (2002)"
4012,Bowling for Columbine (2002)
4018,"Ring, The (2002)"
4118,Equilibrium (2002)
4165,"Pianist, The (2002)"
4301,Anger Management (2003)
4356,Bruce Almighty (2003)
4361,"Italian Job, The (2003)"
4568,All the President's Men (1976)
4581,Monty Python's The Meaning of Life (1983)
4796,Big Fish (2003)
4889,"Good bye, Lenin! (2003)"
4918,Hellboy (2004)
5161,"Day After Tomorrow, The (2004)"
5263,Anchorman: The Legend of Ron Burgundy (2004)
5302,Garden State (2004)
5350,Team America: World Police (2004)
5366,The Machinist (2004)
5735,Charlie and the Chocolate Factory (2005)
5872,"Hitchhiker's Guide to the Galaxy, The (2005)"
5901,Madagascar (2005)
5936,Fantastic Four (2005)
5954,Serenity (2005)
5985,Lord of War (2005)
5997,Aeon Flux (2005)
6005,Corpse Bride (2005)
6007,"History of Violence, A (2005)"
6015,Wallace & Gromit in The Curse of the Were-Rabbit (2005)
6016,Kiss Kiss Bang Bang (2005)
6149,Ice Age 2: The Meltdown (2006)
6151,V for Vendetta (2006)
6155,Inside Man (2006)
6165,"Lives of Others, The (Das leben der Anderen) (2006)"
6170,Lucky Number Slevin (2006)
6221,Pirates of the Caribbean: Dead Man's Chest (2006)
6242,Little Miss Sunshine (2006)
6428,Zodiac (2007)
6488,Pirates of the Caribbean: At World's End (2007)
6518,Live Free or Die Hard (2007)
6521,Transformers (2007)
6530,"Simpsons Movie, The (2007)"
6580,Into the Wild (2007)
6609,American Gangster (2007)
6646,Sweeney Todd: The Demon Barber of Fleet Street (2007)
6676,In Bruges (2008)
6754,Indiana Jones and the Kingdom of the Crystal Skull (2008)
6760,Kung Fu Panda (2008)
6770,"Incredible Hulk, The (2008)"
6774,Hancock (2008)
6797,Watchmen (2009)
6865,Zack and Miri Make a Porno (2008)
6928,"Curious Case of Benjamin Button, The (2008)"
6985,Dr. Horrible's Sing-Along Blog (2008)
6992,"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)"
7016,X-Men Origins: Wolverine (2009)
7043,"Hangover, The (2009)"
7278,Alice in Wonderland (2010)
7306,Kick-Ass (2010)
7324,Iron Man 2 (2010)
7391,"Other Guys, The (2010)"
7395,Scott Pilgrim vs. the World (2010)
7589,Thor (2011)
7608,Pirates of the Caribbean: On Stranger Tides (2011)
7620,X-Men: First Class (2011)
7645,Drive (2011)
7646,Captain America: The First Avenger (2011)
7770,Sherlock Holmes: A Game of Shadows (2011)
7920,Ted (2012)
8053,"Hobbit: An Unexpected Journey, The (2012)"
8151,Iron Man 3 (2013)
8159,Star Trek Into Darkness (2013)
8179,Now You See Me (2013)
8289,Thor: The Dark World (2013)
8295,The Hunger Games: Catching Fire (2013)
8425,X-Men: Days of Future Past (2014)
8452,Birdman: Or (The Unexpected Virtue of Ignorance) (2014)
8569,The Imitation Game (2014)
8572,The Hunger Games: Mockingjay - Part 1 (2014)
8686,Avengers: Age of Ultron (2015)
8689,Ant-Man (2015)
8695,Guardians of the Galaxy 2 (2017)
8696,Captain America: Civil War (2016)
8990,The Revenant (2015)
9162,"Big Short, The (2015)"
9392,Arrival (2016)
9463,Logan (2017)
44,Pocahontas (1995)
95,Muppet Treasure Island (1996)
145,Judge Dredd (1995)
330,Reality Bites (1994)
336,Timecop (1994)
364,Beverly Hills Cop III (1994)
483,"Nightmare Before Christmas, The (1993)"
522,Heavy Metal (1981)
558,Mystery Science Theater 3000: The Movie (1996)
587,"Craft, The (1996)"
598,Spy Hard (1996)
620,Kingpin (1996)
622,"Nutty Professor, The (1996)"
645,Ransom (1996)
661,Bound (1996)
685,Vertigo (1958)
697,Sabrina (1954)
714,To Catch a Thief (1955)
779,Angels in the Outfield (1994)
800,"Long Kiss Goodnight, The (1996)"
858,Escape from New York (1981)
916,Army of Darkness (1993)
956,Better Off Dead... (1985)
968,Arsenic and Old Lace (1944)
984,Heathers (1989)
1022,"Birds, The (1963)"
1027,Dracula (Bram Stoker's Dracula) (1992)
1033,Carrie (1976)
1052,101 Dalmatians (1996)
1055,Star Trek VI: The Undiscovered Country (1991)
1056,Star Trek V: The Final Frontier (1989)
1059,Star Trek IV: The Voyage Home (1986)
1061,Young Guns (1988)
1063,Grease (1978)
1074,Raising Arizona (1987)
1083,Scream (1996)
1085,Michael (1996)
1131,"Saint, The (1997)"
1135,Liar Liar (1997)
1145,Anaconda (1997)
1174,Batman & Robin (1997)
1177,Hercules (1997)
1178,My Best Friend's Wedding (1997)
1194,Spawn (1997)
1215,In & Out (1997)
1236,The Devil's Advocate (1997)
1252,Stripes (1981)
1275,Alien: Resurrection (1997)
1288,Scream 2 (1997)
1292,Tomorrow Never Dies (1997)
1304,Wag the Dog (1997)
1305,Dark City (1998)
1320,Sphere (1998)
1346,Lost in Space (1998)
1393,Dr. Dolittle (1998)
1402,Pi (1998)
1469,Poltergeist (1982)
1478,Gremlins (1984)
1520,Hocus Pocus (1993)
1546,"Mighty Ducks, The (1992)"
1570,L.A. Story (1991)
1592,Weird Science (1985)
1598,"Dark Crystal, The (1982)"
1602,Sixteen Candles (1984)
1623,Blade (1998)
1662,Cube (1997)
1667,Broadcast News (1987)
1669,Working Girl (1988)
1671,Say Anything... (1989)
1706,Antz (1998)
1713,My Cousin Vinny (1992)
1727,Pleasantville (1998)
1740,"Waterboy, The (1998)"
1757,"Bug's Life, A (1998)"
1771,Desperately Seeking Susan (1985)
1773,Fletch (1985)
1777,"Money Pit, The (1986)"
1794,Star Trek: Insurrection (1998)
1795,"Prince of Egypt, The (1998)"
1797,Shakespeare in Love (1998)
1807,Cocoon (1985)
1823,Christmas Vacation (National Lampoon's Christmas Vacation) (1989)
1827,"Faculty, The (1998)"
1846,"Fly, The (1986)"
1878,Blast from the Past (1999)
1914,Analyze This (1999)
1962,Entrapment (1999)
1988,Superman III (1983)
2016,Tarzan (1999)
2027,Arachnophobia (1990)
2035,"Blair Witch Project, The (1999)"
2042,Inspector Gadget (1999)
2043,Deep Blue Sea (1999)
2067,Little Shop of Horrors (1986)
2094,Monty Python's And Now for Something Completely Different (1971)
2110,"Christmas Story, A (1983)"
2134,Stigmata (1999)
2192,Risky Business (1983)
2233,Time Bandits (1981)
2264,"Bone Collector, The (1999)"
2316,"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)"
2318,Moonstruck (1987)
2327,"World Is Not Enough, The (1999)"
2330,Scrooged (1988)
2343,Fatal Attraction (1987)
2346,Midnight Run (1988)
2441,Wayne's World 2 (1993)
2451,Buffy the Vampire Slayer (1992)
2456,Forever Young (1992)
2478,"Whole Nine Yards, The (2000)"
2513,Bull Durham (1988)
2536,"Muppet Movie, The (1979)"
2553,Thelma & Louise (1991)
2555,Animal House (1978)
2558,Do the Right Thing (1989)
2596,Close Encounters of the Third Kind (1977)
2600,Jacob's Ladder (1990)
2640,28 Days (2000)
2642,Keeping the Faith (2000)
2691,Pee-wee's Big Adventure (1985)
2760,"Running Man, The (1987)"
2766,Mad Max Beyond Thunderdome (1985)
2803,Titan A.E. (2000)
2807,"Me, Myself & Irene (2000)"
2859,Coyote Ugly (2000)
2860,Hollow Man (2000)
780,Cinderella (1950)
792,"Sound of Music, The (1965)"
1481,"Mask of Zorro, The (1998)"
1550,Peter Pan (1953)
2570,Teenage Mutant Ninja Turtles (1990)
2810,"Perfect Storm, The (2000)"
2944,Meet the Parents (2000)
2976,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000)
3000,"Emperor's New Groove, The (2000)"
3003,Finding Forrester (2000)
3009,Miss Congeniality (2000)
3101,"Mexican, The (2001)"
3145,Spy Kids (2001)
3172,"Mummy Returns, The (2001)"
3190,"Knight's Tale, A (2001)"
3217,Swordfish (2001)
3231,Lara Croft: Tomb Raider (2001)
3233,"Fast and the Furious, The (2001)"
3286,Final Fantasy: The Spirits Within (2001)
3409,Jurassic Park III (2001)
3459,American Pie 2 (2001)
3470,Jay and Silent Bob Strike Back (2001)
3495,Training Day (2001)
3544,Mulholland Drive (2001)
3578,Spy Game (2001)
3628,"Royal Tenenbaums, The (2001)"
3649,Gosford Park (2001)
3699,"Sandlot, The (1993)"
3705,Super Troopers (2001)
3731,"Time Machine, The (2002)"
3764,Blade II (2002)
3790,My Big Fat Greek Wedding (2002)
3799,The Scorpion King (2002)
3839,Insomnia (2002)
3991,Red Dragon (2002)
4229,Daredevil (2003)
1778,"View to a Kill, A (1985)"
1780,Police Academy (1984)
1803,First Blood (Rambo: First Blood) (1982)
2045,Runaway Bride (1999)
2252,For Your Eyes Only (1981)
2712,Moonraker (1979)
2759,Predator 2 (1990)
2891,"Naked Gun: From the Files of Police Squad!, The (1988)"
2972,Diamonds Are Forever (1971)
3051,Beverly Hills Cop (1984)
3317,Coming to America (1988)
3447,Rush Hour 2 (2001)
3746,Resident Evil (2002)
4409,Charlie's Angels: Full Throttle (2003)
5743,Meet the Fockers (2004)
5938,Wedding Crashers (2005)
6062,Harry Potter and the Goblet of Fire (2005)
6075,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)"
6199,Mission: Impossible III (2006)
6208,"Da Vinci Code, The (2006)"
6219,Click (2006)
6254,Night at the Museum (2006)
6481,Knocked Up (2007)
6486,Shrek the Third (2007)
6497,Ocean's Thirteen (2007)
6647,National Treasure: Book of Secrets (2007)
6725,Forgetting Sarah Marshall (2008)
6746,Taken (2008)
6885,Slumdog Millionaire (2008)
7198,"Blind Side, The  (2009)"
7302,How to Train Your Dragon (2010)
7456,Black Swan (2010)
7465,Harry Potter and the Deathly Hallows: Part 1 (2010)
7644,Harry Potter and the Deathly Hallows: Part 2 (2011)
7662,Rise of the Planet of the Apes (2011)
7774,Mission: Impossible - Ghost Protocol (2011)
7845,21 Jump Street (2012)
8022,Wreck-It Ralph (2012)
8235,We're the Millers (2013)
8313,Her (2013)
8357,The Lego Movie (2014)
8546,Big Hero 6 (2014)
8590,Jurassic World (2015)
1429,Midnight Cowboy (1969)
1430,"French Connection, The (1971)"
1616,Rosemary's Baby (1968)
2265,"Insider, The (1999)"
3983,Secretary (2002)
4015,Punch-Drunk Love (2002)
4529,Lost in Translation (2003)
5200,Super Size Me (2004)
5255,Fahrenheit 9/11 (2004)
5732,Million Dollar Baby (2004)
5955,Broken Flowers (2005)
6028,Brokeback Mountain (2005)
6087,Munich (2005)
6256,Stranger than Fiction (2006)
6453,Grindhouse (2007)
6508,Death Proof (2007)
6537,Superbad (2007)
6613,No Country for Old Men (2007)
6648,There Will Be Blood (2007)
6836,Burn After Reading (2008)
6965,Coraline (2009)
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
234,"Madness of King George, The (1994)"
596,Ghost in the Shell (Kôkaku kidôtai) (1995)
880,Delicatessen (1991)
933,"Boot, Das (Boat, The) (1981)"
948,"Femme Nikita, La (Nikita) (1990)"
973,Akira (1988)
1286,Midnight in the Garden of Good and Evil (1997)
1375,Fear and Loathing in Las Vegas (1998)
1437,"Last Emperor, The (1987)"
3148,Amores Perros (Love's a Bitch) (2000)
4558,"Triplets of Belleville, The (Les triplettes de Belleville) (2003)"
1805,"Jewel of the Nile, The (1985)"
2658,"Virgin Suicides, The (1999)"
3676,The Count of Monte Cristo (2002)
5797,Constantine (2005)
5972,"40-Year-Old Virgin, The (2005)"
6276,"Illusionist, The (2006)"
6664,Cloverfield (2008)
6817,Pineapple Express (2008)
6822,Tropic Thunder (2008)
7609,Midnight in Paris (2011)
742,"African Queen, The (1951)"
961,"Great Escape, The (1963)"
986,Ben-Hur (1959)
1067,Jaws (1975)
2290,Little Big Man (1970)
850,"People vs. Larry Flynt, The (1996)"
952,"Day the Earth Stood Still, The (1951)"
970,Fried Green Tomatoes (1991)
1496,Dune (1984)
1661,Rounders (1998)
2190,Boys Don't Cry (1999)
2342,"River Runs Through It, A (1992)"
2347,Awakenings (1990)
2349,Backdraft (1991)
2439,Scent of a Woman (1992)
2443,Patriot Games (1992)
2512,Hoosiers (a.k.a. Best Shot) (1986)
3216,Evolution (2001)
3646,Black Hawk Down (2001)
4133,About Schmidt (2002)
4297,Phone Booth (2002)
4425,Terminator 3: Rise of the Machines (2003)
4648,Master and Commander: The Far Side of the World (2003)
4654,21 Grams (2003)
4656,Bad Santa (2003)
4764,Hero (Ying xiong) (2002)
5335,Shaun of the Dead (2004)
5390,House of Flying Daggers (Shi mian mai fu) (2004)
5885,Crash (2004)
6076,King Kong (2005)
6153,Thank You for Smoking (2006)
6244,Babel (2006)
6310,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
6358,Blood Diamond (2006)
6422,Hot Fuzz (2007)
6446,Shooter (2007)
6516,1408 (2007)
6557,3:10 to Yuma (2007)
733,It's a Wonderful Life (1946)
906,Lawrence of Arabia (1962)
941,Glory (1989)
1325,U.S. Marshals (1998)
1422,On the Waterfront (1954)
2515,American Graffiti (1973)
7625,Super 8 (2011)
931,"Right Stuff, The (1983)"
1073,Jerry Maguire (1996)
171,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
210,Hoop Dreams (1994)
409,"Hudsucker Proxy, The (1994)"
621,Eraser (1996)
267,Three Colors: Blue (Trois couleurs: Bleu) (1993)
489,Welcome to the Dollhouse (1995)
633,"Time to Kill, A (1996)"
784,Robin Hood: Prince of Thieves (1991)
1129,Private Parts (1997)
1258,Boogie Nights (1997)
1331,"Man in the Iron Mask, The (1998)"
1792,"Simple Plan, A (1998)"
1882,October Sky (1999)
3877,Mr. Deeds (2002)
2514,Dog Day Afternoon (1975)
503,"Brady Bunch Movie, The (1995)"
2468,"Beach, The (2000)"
2960,Bedazzled (2000)
3572,Shallow Hal (2001)
4526,Matchstick Men (2003)
4814,Along Came Polly (2004)
4939,13 Going on 30 (2004)
6522,Harry Potter and the Order of the Phoenix (2007)
7638,Horrible Bosses (2011)
7859,"Cabin in the Woods, The (2012)"
8023,Silver Linings Playbook (2012)
193,Drop Zone (1994)
357,Airheads (1994)
1031,Cape Fear (1991)
1150,Romy and Michele's High School Reunion (1997)
1754,"Big Chill, The (1983)"
1959,Pushing Tin (1999)
2101,National Lampoon's Vacation (1983)
2111,Mickey Blue Eyes (1999)
2156,Deliverance (1972)
2174,Three Kings (1999)
2340,"Natural, The (1984)"
2402,"Girl, Interrupted (1999)"
2475,Boiler Room (2000)
2654,Caddyshack (1980)
3202,City Slickers (1991)
3229,Tootsie (1982)
454,RoboCop 3 (1993)
1529,Roger & Me (1989)
1585,"Addams Family, The (1991)"
1830,Patch Adams (1998)
3779,National Lampoon's Van Wilder (2002)
2961,Pay It Forward (2000)
3624,Vanilla Sky (2001)
1009,Alien³ (a.k.a. Alien 3) (1992)
5169,"Chronicles of Riddick, The (2004)"
691,"Apartment, The (1960)"
4074,8 Mile (2002)
8005,Argo (2012)
935,Harold and Maude (1971)
943,Manhattan (1979)
1038,"Omen, The (1976)"
1472,"Exorcist, The (1973)"
2373,"Cider House Rules, The (1999)"
4327,Identity (2003)
6470,Spider-Man 3 (2007)
6556,Planet Terror (2007)
7060,"Hurt Locker, The (2008)"
601,"Arrival, The (1996)"
698,Roman Holiday (1953)
854,"Return of the Pink Panther, The (1975)"
1459,Halloween (1978)
992,Gandhi (1982)
167,Strange Days (1995)
576,Mulholland Falls (1996)
1394,Out of Sight (1998)
1532,Doctor Zhivago (1965)
1702,"Player, The (1992)"
1495,Dangerous Liaisons (1988)
2619,Network (1976)
4428,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)"
5680,Lemony Snicket's A Series of Unfortunate Events (2004)
6773,Wanted (2008)
7688,Moneyball (2011)
8183,Man of Steel (2013)
8322,Snowpiercer (2013)
1442,Repo Man (1984)
3061,"Evil Dead, The (1981)"
4705,Battle Royale (Batoru rowaiaru) (2000)
5173,Napoleon Dynamite (2004)
5334,"Motorcycle Diaries, The (Diarios de motocicleta) (2004)"
5729,"Scanner Darkly, A (2006)"
5737,"Life Aquatic with Steve Zissou, The (2004)"
6483,28 Weeks Later (2007)
6529,Stardust (2007)
741,Night of the Living Dead (1968)
3007,"Family Man, The (2000)"
3075,"Lost Boys, The (1987)"
3751,And Your Mother Too (Y tu mamá también) (2001)
4139,25th Hour (2002)
4245,Old School (2003)
4262,Bend It Like Beckham (2002)
4641,Elf (2003)
4548,Underworld (2003)
4672,WarGames (1983)
4891,Starsky & Hutch (2004)
1586,Ever After: A Cinderella Story (1998)
1859,Crocodile Dundee II (1988)
2999,"Dude, Where's My Car? (2000)"
3041,"Wedding Planner, The (2001)"
3246,Scary Movie 2 (2001)
3529,Serendipity (2001)
3872,Lilo & Stitch (2002)
4945,Van Helsing (2004)
5309,Harold and Kumar Go to White Castle (2004)
5344,I Heart Huckabees (2004)
6220,"Devil Wears Prada, The (2006)"
7605,Bridesmaids (2011)
7894,Moonrise Kingdom (2012)
878,Cinema Paradiso (Nuovo cinema Paradiso) (1989)
1439,Driving Miss Daisy (1989)
707,All About Eve (1950)
1485,Metropolis (1927)
1786,Babe: Pig in the City (1998)
4466,Freaky Friday (2003)
830,Weekend at Bernie's (1989)
6586,"Darjeeling Limited, The (2007)"
1010,"American Werewolf in London, An (1981)"
1961,eXistenZ (1999)
1435,Terms of Endearment (1983)
2968,Little Nicky (2000)
3158,Joe Dirt (2001)
2249,RoboCop 2 (1990)
1488,"Poseidon Adventure, The (1972)"
